Job_ID,Job_Title,Company,Location,Country,Experience_Level,Employment_Type,Work_Mode,Salary_Min,Salary_Max,Salary_Currency,Posted_Date,Industry,Company_Size,Python,SQL,Power_BI,Excel,Tableau,Machine_Learning,Deep_Learning,TensorFlow,PyTorch,AWS,Azure,GCP,Statistics,NLP,Generative_AI,Years_Experience,Education,Job_Description,Average_Salary,Skill_Count
JOB11909,Data Scientist,Siemens,Pune,India,Mid Level,Full Time,On-site,890000,1250000,INR,2025-07-13,Technology,1000+,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,2,Master's,"Seeking a Data Scientist to support Technology projects. Key skills include Python, Machine Learning, AWS, Statistics. On-site role with mid level experience requirements.",1070000,4
JOB11640,Ai/Ml Intern,Infosys,Delhi,Australia,Senior,Full Time,Remote,350000,490000,AUD,2026-07-14,Finance,1000+,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,7,Bachelor's,"Seeking a AI/ML Intern to support Finance projects. Key skills include Python, SQL, Power BI, Machine Learning, Deep Learning, AWS, Statistics. Remote role with senior experience requirements.",420000,7
JOB11057,Bi Analyst,Amazon,Bangalore,India,Senior,Full Time,Remote,680000,890000,INR,2026-06-22,IT Services,1000+,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,9,Bachelor's,"Seeking a BI Analyst to support IT Services projects. Key skills include SQL, Power BI, GCP, Generative AI. Remote role with senior experience requirements.",785000,4
JOB10488,Data Scientist,Bosch,Noida,India,Entry Level,Full Time,Hybrid,760000,1030000,INR,2026-04-01,Finance,1-50,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,1,Bachelor's,"Seeking a Data Scientist to support Finance projects. Key skills include Python, Excel, TensorFlow, Azure, Statistics. Hybrid role with entry level experience requirements.",895000,5
JOB11229,Nlp Engineer,Deloitte,Delhi,India,Mid Level,Full Time,Remote,1000000,1390000,INR,2026-04-21,E-commerce,201-500,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,5,Master's,"Seeking a NLP Engineer to support E-commerce projects. Key skills include Python, SQL, Excel, Machine Learning, Statistics. Remote role with mid level experience requirements.",1195000,5
JOB10147,Data Engineer,LTIMindtree,Hyderabad,India,Entry Level,Full Time,Hybrid,700000,1050000,INR,2025-08-26,Manufacturing,501-1000,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,1,Bachelor's,"Seeking a Data Engineer to support Manufacturing projects. Key skills include Python, SQL, Machine Learning, AWS, Statistics. Hybrid role with entry level experience requirements.",875000,5
JOB10570,Data Scientist,Infosys,Bangalore,India,Mid Level,Part Time,Hybrid,710000,1030000,INR,2026-05-28,Finance,1000+,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,4,Bachelor's,"Seeking a Data Scientist to support Finance projects. Key skills include Python, SQL, Excel, Azure, Statistics. Hybrid role with mid level experience requirements.",870000,5
JOB10282,Data Scientist,NVIDIA,Mumbai,India,Mid Level,Full Time,Hybrid,770000,1030000,INR,2025-09-10,Technology,1-50,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,2,Master's,"Seeking a Data Scientist to support Technology projects. Key skills include Python, SQL, Machine Learning, TensorFlow, Statistics. Hybrid role with mid level experience requirements.",900000,5
JOB10958,Data Analyst,Deloitte,Hyderabad,India,Mid Level,Full Time,On-site,540000,640000,AUD,2025-04-13,Technology,1000+,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,5,Bachelor's,"Seeking a Data Analyst to support Technology projects. Key skills include Python, SQL, Excel, Deep Learning, Statistics. On-site role with mid level experience requirements.",590000,5
JOB10305,Bi Analyst,Deloitte,Hyderabad,India,Mid Level,Full Time,Hybrid,520000,690000,INR,2026-03-20,IT Services,501-1000,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,5,Bachelor's,"Seeking a BI Analyst to support IT Services projects. Key skills include Python, SQL, Power BI, Machine Learning, Deep Learning, PyTorch, AWS. Hybrid role with mid level experience requirements.",605000,7
JOB10503,Data Scientist,Microsoft,Gurgaon,India,Mid Level,Full Time,Remote,790000,1110000,INR,2026-05-04,Manufacturing,1000+,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,2,Diploma,"Seeking a Data Scientist to support Manufacturing projects. Key skills include Python, SQL, Excel, Machine Learning, TensorFlow, Statistics. Remote role with mid level experience requirements.",950000,6
JOB10320,Data Scientist,NVIDIA,Bangalore,India,Senior,Full Time,Remote,1280000,1570000,INR,2025-06-10,IT Services,501-1000,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,8,Master's,"Seeking a Data Scientist to support IT Services projects. Key skills include Python, Tableau, Machine Learning, Deep Learning. Remote role with senior experience requirements.",1425000,4
JOB10797,Ai/Ml Intern,Genpact,Gurgaon,India,Mid Level,Full Time,Remote,320000,430000,INR,2025-11-01,Consulting,1-50,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,3,Master's,"Seeking a AI/ML Intern to support Consulting projects. Key skills include Python, Power BI, Machine Learning, Deep Learning, GCP, Statistics. Remote role with mid level experience requirements.",375000,6
JOB10383,Data Engineer,Walmart Global Tech,Bangalore,India,Senior,Full Time,Remote,1080000,1350000,INR,2025-03-14,Healthcare,1000+,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,5,Bachelor's,"Seeking a Data Engineer to support Healthcare projects. Key skills include Python, SQL, Power BI, Excel, Machine Learning, PyTorch, AWS. Remote role with senior experience requirements.",1215000,9
JOB11105,Nlp Engineer,Deloitte,Pune,USA,Entry Level,Full Time,On-site,730000,1000000,INR,2025-04-26,Consulting,51-200,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,1,MBA,"Seeking a NLP Engineer to support Consulting projects. Key skills include Python, SQL, Excel, Machine Learning, PyTorch, GCP, Statistics. On-site role with entry level experience requirements.",865000,8
